"Taken","take","přijala","přijmout","pf"," Taken                            "," Všechny mé nože do zad ho nemohly dohromady zranit jako ten, který jsem bezhlavě přijala z ruky sedmilháře."
"Comes","come","Chodí","chodit","impf"," Comes            "," Chodí kolem šestý, mám něco vyřídit?"
"Take","take","Ber","brát","impf"," Take          "," Ber, anebo nech a zůstaň tady!"
"Pack","pack","Sbalila","sbalit","pf"," Pack       "," Sbalila bych kufry a mějte mě rádi ..."
"Ask","ask","Ptej","ptát","impf"," Ask   "," Ptej se dál!"
"Thank","thank","Děkuju","děkovat","impf"," Thank    "," ( Děkuju, miláčku! )"
"Choosing","choose","zvolila","zvolit","pf"," Choosing                                              "," Že jsem zvolila druhé, bylo výrazem mé víry ( i když jsem si netroufla prosit nebe! ), že zpoždění i nevolnosti zavinil blázinec posledních dnů, jaký jsem nezažila, co mě tenkrát opustil Viktor."
"Take","take","Vem","vzít","pf"," Take                 "," Vem to jako důkaz, že Olinek nekecá a miluje tě k sežrání."
"Studying","study","Učí","učit","impf"," Studying   "," Učí se jazyk?"
"Believe","believe","Věř","věřit","impf"," Believe   "," Věř mi!"
"Shoot","shoot","Vystřelit","vystřelit","pf"," Shoot     "," Vystřelit odtud jako první?"
"Encouraged","encourage","povzbuzena","povzbudit","pf"," Encouraged        "," Tím povzbuzena jsem se rozhodla."
"Deny","deny","Popři","popřít","pf"," Deny          "," ( Popři aspoň ze slušnosti ... )"
"Let","let","nechal","nechat","pf"," Let                                            "," Budiž rovněž přiznáno, že jsem obdivovala Lunovy něžně robustní plastiky ( paradoxního účinku dosahoval, když nechal jemně opracovaná torza vystupovat z hrubě vylomených šutrů ) a toužila být právě tak zvěčněna."
"Love","love","Miluj","milovat","impf"," Love                                         "," Miluj ho! přikázal mi za ně náš kaštan, bude - li chtít, řekne ti sám, a netroufne - li si, odpusť mu, jakož i nám odpouštějí naši viníci."
"Go","go","Jděte","jít","impf"," Go                    "," Jděte třeba do kina, musím být v Praze až po sedmé."
"Come","come","přijď","přijít","pf"," Come      "," Hned sem přijď a zvoň na mě!"
"Do","do","Dělej","dělat","impf"," Do        "," ( Dělej co chceš, otrocká náturo! )"
"Listen","listen","Poslyš","slyšet","impf"," Listen                          "," Poslyš, je - li doma, vyjeďme ven, existujou už soukromé hotýlky, kde se dá večeřet v pokoji."
"Go","go","Odejděte","odejít","pf"," Go    "," Odejděte v pokoji."
"Let","let","Nechme","nechat","pf"," Let        "," ( Nechme i jemu aspoň iluzi. )"
"Looking","look","Hledíc","hledět","impf"," Looking                                        "," Hledíc přímo před sebe ( nehledám, jsem hledána ), mířila jsem k oknům na Vltavu s úmyslem usednout, zapálit si a čekat, kdo se dostaví."
"Looking","look","nehledám","hledat","impf"," Looking                                        "," Hledíc přímo před sebe ( nehledám, jsem hledána ), mířila jsem k oknům na Vltavu s úmyslem usednout, zapálit si a čekat, kdo se dostaví."
"Looking","look","hledána","hledat","impf"," Looking                                        "," Hledíc přímo před sebe ( nehledám, jsem hledána ), mířila jsem k oknům na Vltavu s úmyslem usednout, zapálit si a čekat, kdo se dostaví."
"Tell","tell","Pověz","povědět","pf"," Tell                       "," Pověz to Gábě, kdyby vyrobili práskače i ze mě, že jsem s nima hrál tak dobře habaďůru."
"Arrange","arrange","Zařiď","zařídit","pf"," Arrange               "," ( Zařiď to, byls jeden z mých třinácti, co chceš víc? )"
"Do","do","vem","vzít","pf"," Do                     "," Nemuč mě a vem si na muj účet taxla, votvírám pravej šampus!"
"Excuse","excuse","Promiňte","prominout","pf"," Excuse   "," Promiňte."
"Calm","calm","Uklidni","uklidnit","pf"," Calm               "," Uklidni se, musíš mi říct, kam mám přijet a co potřebuješ."
"Swathed","swathe","Zahalena","zahalit","pf"," Swathed                                      "," Zahalena do velké osušky ( nač? co mohl, viděl, a způsobně hačal v kuchyni ) jsem se stavila v pokoji, obléknout cestovní úbor."
"Invite","invite","Pozvi","pozvat","pf"," Invite              "," Pozvi ji samotnou, a tak, aby šla ráda!"
"Scream","scream","Vykřikla","vykřiknout","pf"," Scream             "," Vykřikla Hoří! a sklapla mu sešit před nosem?"
"Do","do","udělal","udělat","pf"," Do          "," Myslíš si, že s nimi udělal dohodu?"
"Steering","steer","vést","vést","impf"," Steering                                                                            "," Kupectví jsem se vyhnula obloukem ( tam vstoupím až s korunami ), za posbírané mince zakoupila lístky na všecky čtyři jízdy a marky cestou vyměnila ( premiéra ) ve státním peněžním ústavu, samé výrazy přesvědčení, že závěrečný boj se sílami temna smí vést jen slušný člověk a řádný občan."
"Say","say","Řekni","říci","pf"," Say  "," ( Řekni Ano! )"
"Keep","keep","Vydržet","vydržet","pf"," Keep    "," Vydržet ten pohled! )"
"Write","write","Napiš","napsat","pf"," Write    "," Napiš si to!"
"Inform","inform","Sdělit","sdělit","pf"," Inform       "," Sdělit jí to nebo zatajit?"
"Tear","tear","Roztrhat","roztrhat","pf"," Tear                      "," Roztrhat a zahodit, jistě, ale dřív bych si to možná měla přečíst znova bez ironických glos, ne?"
"Speak","speak","Mluv","mluvit","impf"," Speak        "," Mluv, jinak budem pykat obě! )"
"Say","say","Řekni","říci","pf"," Say  "," ( Řekni, že ne!"
"Call","call","Zavoláš","zavolat","pf"," Call               "," Zavoláš ve dvanáct, ale domů, ne sem, rozumíš?"
"Try","try","Vyzkoušej","vyzkoušet","pf"," Try    "," Vyzkoušej to."
"Kiss","kiss","Polib","políbit","pf"," Kiss   "," ( Polib mi šos! )"
"Freeing","free","Osvobodit","osvobodit","pf"," Freeing                                             "," Osvobodit mě z potřísněných svršků, z gruntu omýt ( něco takového si dokonce pamatuju ) a převléknout do čisté košile ( ze dna prádelníku! ) mě mohl zas jen on!"
